Date,Open,High,Low,Close,Volume
12/1/2020,214.509995,217.320007,213.350006,216.210007,30904500
12/2/2020,214.880005,215.470001,212.800003,215.369995,23724500
12/3/2020,214.610001,216.380005,213.649994,214.240005,25120900
12/4/2020,214.220001,215.380005,213.179993,214.360001,24666000
12/7/2020,214.369995,215.539993,212.990005,214.289993,24620000
12/8/2020,213.970001,216.949997,212.889999,216.009995,23284100
12/9/2020,215.160004,215.229996,211.210007,211.800003,32440600
12/10/2020,211.770004,213.080002,210.360001,210.520004,26733300
12/11/2020,210.050003,213.320007,209.110001,213.259995,30979400
12/14/2020,213.100006,216.210007,212.880005,214.199997,28798400
12/15/2020,215.169998,215.419998,212.240005,214.130005,27000600
12/16/2020,214.75,220.110001,214.720001,219.279999,35023300
12/17/2020,219.869995,220.889999,217.919998,219.419998,32515800
12/18/2020,218.589996,219.690002,216.020004,218.589996,63354900
12/21/2020,217.550003,224,217.279999,222.589996,37181900
12/22/2020,222.690002,225.630005,221.850006,223.940002,22612200
12/23/2020,223.110001,223.559998,220.800003,221.020004,18699600
12/24/2020,221.419998,223.610001,221.199997,222.75,10550600
12/28/2020,224.449997,226.029999,223.020004,224.960007,17933500
12/29/2020,226.309998,227.179993,223.580002,224.149994,17403200
12/30/2020,225.229996,225.630005,221.470001,221.679993,20272300
12/31/2020,221.699997,223,219.679993,222.419998,20942100
1/4/2021,222.529999,223,214.809998,217.690002,37130100
1/5/2021,217.259995,218.520004,215.699997,217.899994,23823000
1/6/2021,212.169998,216.490005,211.940002,212.25,35930700
1/7/2021,214.039993,219.339996,213.710007,218.289993,27694500
1/8/2021,218.679993,220.580002,217.029999,219.619995,22956200
1/11/2021,218.470001,218.910004,216.729996,217.490005,23031300
1/12/2021,216.5,217.100006,213.320007,214.929993,23249300
1/13/2021,214.020004,216.759995,213.929993,216.339996,20087100
1/14/2021,215.910004,217.460007,212.740005,213.020004,29480800
1/15/2021,213.520004,214.509995,212.029999,212.649994,31746500
1/19/2021,213.75,216.979996,212.630005,216.440002,30480900
1/20/2021,217.699997,225.789993,217.289993,224.339996,37777300
1/21/2021,224.699997,226.300003,222.419998,224.970001,30709400
1/22/2021,227.080002,230.070007,225.800003,225.949997,30172700
1/25/2021,229.119995,229.779999,224.220001,229.529999,33152100
1/26/2021,231.860001,234.179993,230.080002,232.330002,49169600
1/27/2021,238,240.440002,230.139999,232.899994,69870600
1/28/2021,235.610001,242.639999,235.089996,238.929993,49111200
1/29/2021,235.990005,238.020004,231.350006,231.960007,42503100
2/1/2021,235.059998,242.5,232.429993,239.649994,33314200
2/2/2021,241.300003,242.309998,238.690002,239.509995,25916300
2/3/2021,239.570007,245.089996,239.259995,243,27158100
2/4/2021,242.660004,243.240005,240.369995,242.009995,25296100
2/5/2021,242.229996,243.279999,240.419998,242.199997,18054800
2/8/2021,243.149994,243.679993,240.809998,242.470001,22211900
2/9/2021,241.869995,244.759995,241.380005,243.770004,23565000
2/10/2021,245,245.919998,240.889999,242.820007,22186700
2/11/2021,244.779999,245.149994,242.149994,244.490005,15751100
2/12/2021,243.929993,245.300003,242.729996,244.990005,16561100
2/16/2021,245.029999,246.130005,242.919998,243.699997,26728500
2/17/2021,241.320007,244.309998,240.940002,244.199997,21653500
2/18/2021,241.800003,243.929993,240.860001,243.789993,16925600
2/19/2021,243.75,243.860001,240.179993,240.970001,25262600
2/22/2021,237.419998,237.929993,232.399994,234.509995,36446900
2/23/2021,230.330002,234.830002,228.729996,233.270004,30228700
2/24/2021,230.009995,235.199997,229,234.550003,26339700
2/25/2021,232.080002,234.589996,227.880005,228.990005,39542200
2/26/2021,231.529999,235.369995,229.539993,232.380005,37819200
3/1/2021,235.899994,237.470001,233.149994,236.940002,25324000
3/2/2021,237.009995,237.300003,233.449997,233.869995,22812500
3/3/2021,232.160004,233.580002,227.259995,227.559998,34029500
3/4/2021,226.740005,232.490005,224.259995,226.729996,44727800
3/5/2021,229.520004,233.270004,226.460007,231.600006,41872800
3/8/2021,231.369995,233.369995,227.130005,227.389999,35267400
3/9/2021,232.880005,235.380005,231.669998,233.779999,33080500
3/10/2021,237,237,232.039993,232.419998,29746800
3/11/2021,234.960007,239.169998,234.309998,237.130005,29907600
3/12/2021,234.009995,235.820007,233.229996,235.75,22653700
3/15/2021,234.960007,235.190002,231.809998,234.809998,26034900
3/16/2021,236.279999,240.059998,235.940002,237.710007,28092200
3/17/2021,236.149994,238.550003,233.229996,237.039993,29562100
3/18/2021,232.559998,234.190002,230.330002,230.720001,34833000
3/19/2021,231.020004,232.470001,229.350006,230.350006,46430700
3/22/2021,230.270004,236.899994,230.139999,235.990005,30127000
3/23/2021,237.490005,241.050003,237.070007,237.580002,31638400
3/24/2021,237.850006,238,235.320007,235.460007,25620100
3/25/2021,235.300003,236.940002,231.570007,232.339996,34061900
3/26/2021,231.550003,236.710007,231.550003,236.479996,25479900
3/29/2021,236.589996,236.800003,231.880005,235.240005,25227500
3/30/2021,233.529999,233.850006,231.100006,231.850006,24792000
3/31/2021,232.910004,239.100006,232.389999,235.770004,43623500
4/1/2021,238.470001,242.839996,238.050003,242.350006,30338000
4/5/2021,242.759995,249.960007,242.699997,249.070007,36910600
4/6/2021,247.610001,249.399994,246.880005,247.860001,22931900
