response_id,date,score,lesson_id
8110f6f4-ca96-432d-b05d-91304b31fba2,11/30/2021 0:00,10,54
d19feec3-f4ba-48ee-bc4c-e2b0cabd9b2b,11/30/2021 0:00,10,57
da17f50d-4bed-42bf-b5f8-c40bbb9f7c62,11/30/2021 0:00,9,57
43deb531-9ab9-4b11-9e6c-6ba44e24f42c,11/30/2021 0:00,9,57
3609e667-f168-47d1-adf8-cebc6a762c14,11/29/2021 0:00,7,125
9f45178e-827a-4cc9-ae65-28a2dda6d688,11/29/2021 0:00,10,90
1588f373-e599-426e-81dd-97b8e710c92b,11/29/2021 0:00,10,103
6717c074-5590-4676-8804-e5cb48e03842,11/29/2021 0:00,10,57
db4b8b0e-2ef1-4624-aaac-e1226f57e6af,11/29/2021 0:00,7,125
15097ddd-47ba-4a46-85f1-3817953735a9,11/29/2021 0:00,10,57
523119c0-4f67-4e31-bac5-a273454283b6,11/28/2021 0:00,10,90
ed9ef46f-e6d0-41dc-beb9-7e041a322e92,11/28/2021 0:00,10,57
90a73316-1c6f-48fb-99f3-e0d8768f5801,11/28/2021 0:00,8,112
dc47867a-0a1e-4351-930c-8fd2eb41ced1,11/28/2021 0:00,9,57
be55abfd-f7af-4cd2-abfe-422e22433180,11/28/2021 0:00,6,112
8f0c1a94-c6a9-40b6-8e2e-816112b883ab,11/28/2021 0:00,10,125
72272bc6-b3ae-42f4-aae2-8ff04df39b89,11/27/2021 0:00,10,125
893f82af-0670-4817-8ce5-16e690dea0b7,11/27/2021 0:00,7,125
12459772-b591-42a8-96fe-f07184eadd76,11/27/2021 0:00,8,57
c3517c5e-c3a6-4bac-a1bf-40f2cd959c8c,11/26/2021 0:00,10,57
21df72e1-e0d7-45fa-be0a-017524b1e6ee,11/26/2021 0:00,10,57
9d1d7639-f962-4dcd-bb72-50cc08273169,11/26/2021 0:00,10,57
0a71293d-f24a-4d70-87b7-a74916887788,11/26/2021 0:00,10,57
daf34107-3065-4f6a-9ee8-7e6ae3be7cc9,11/26/2021 0:00,10,77
5b1f52ab-e8bc-40e6-a791-11e7430ac11a,11/25/2021 0:00,6,57
42305cf7-140a-41bb-aa79-d3abe7170b2f,11/25/2021 0:00,1,57
facb83bc-9f0a-42e8-96af-480e4ca5d98d,11/25/2021 0:00,10,57
0e34fb05-01bf-4d52-a2d6-1c5b92d1af66,11/25/2021 0:00,10,57
a6df1819-1cbc-4edc-9a80-1846866ef1d4,11/25/2021 0:00,10,57
fa2e6184-87dc-4f3c-a04f-723860ee36b8,11/25/2021 0:00,1,57
30c91aff-908b-4d0b-8158-a97760e46da3,11/25/2021 0:00,10,57
02a36048-0350-4da7-8a26-f652f98398af,11/24/2021 0:00,10,57
36766806-aabe-42c2-9374-0d728eccdc4e,11/24/2021 0:00,10,57
cef4c387-c1c1-4160-844f-315db84a0258,11/24/2021 0:00,10,57
402f001d-f92c-401d-8e0b-0710dd462594,11/24/2021 0:00,7,57
418c8da0-2f6c-4e11-89f5-f0c1a2eb45d9,11/24/2021 0:00,7,57
20112d4f-1620-4b3d-9565-aa93d1c58f58,11/24/2021 0:00,10,57
6f9dbfe6-b8c9-43e6-9a36-a90d279545d6,11/24/2021 0:00,7,57
5e5ee126-7048-4c50-9688-07e5df43a0ae,11/23/2021 0:00,10,103
99291941-bdd0-4952-81e1-3f5a0930aab8,11/23/2021 0:00,10,57
5f35c840-2c67-41c6-8b1f-f26a6188105c,11/23/2021 0:00,10,90
c993f542-04a0-49e4-aa4d-a62f14ff5522,11/23/2021 0:00,8,57
ab4391b8-8e8c-4d98-bad4-2c1858e2a208,11/23/2021 0:00,10,103
123bbd0d-e237-4e34-91d9-0a6ca9cd5028,11/23/2021 0:00,10,57
a075e293-062e-4f07-a62d-ddec339c8bfc,11/23/2021 0:00,10,90
f51388df-bd00-4dc6-9e32-6b8a035164b7,11/22/2021 0:00,10,57
e78a064d-2481-4388-a94f-7d4ca9c93fa6,11/22/2021 0:00,0,103
486ba77e-84db-452a-b867-39ee7beb741f,11/22/2021 0:00,0,103
3dd5f2f6-648a-4b5a-89ee-ded7539b0d1c,11/21/2021 0:00,10,57
32b8c5d6-6a64-41dd-9c0d-f80cc03a9ac6,11/21/2021 0:00,10,57
269814e1-4e88-4de5-9993-c8217bd93ad2,11/21/2021 0:00,10,57
ccd9a7d6-70cd-4d89-bc5b-7eadfde03988,11/21/2021 0:00,10,57
9ad94847-c73a-4c33-a2ec-9bfcf1240521,11/21/2021 0:00,7,57
a61688a9-c8bb-4b1d-87e3-785ecd12d9a6,11/21/2021 0:00,10,57
98ea8f28-a43e-4de3-8822-86918a5a3676,11/21/2021 0:00,5,57
c7fd78fb-526f-4a9b-b612-29f8e8b6cedf,11/21/2021 0:00,7,57
66cd0a5b-ff34-460e-8f3c-01ca1e40661a,11/20/2021 0:00,10,57
51aae8b0-5850-4c3e-808e-8b777ccef2a8,11/20/2021 0:00,10,57
52833fb2-f138-4d8c-8bc0-79b5a321222c,11/20/2021 0:00,5,103
be900b0c-54a2-4392-850f-6e3b3918026d,11/20/2021 0:00,10,90
071e329d-31bb-4dae-93c1-c0aea01db464,11/19/2021 0:00,10,311
56ccfa87-400a-4abe-b225-3627288d3473,11/19/2021 0:00,7,311
7e9a69e0-0a18-4a31-bb47-3716e41b8d54,11/19/2021 0:00,7,57
9c9fa88b-edfe-4642-9edd-c18943f02692,11/19/2021 0:00,8,77
82631d2c-0eed-4dff-a0ed-1d8201d9c278,11/19/2021 0:00,10,57
a61adec7-9bfd-4a7b-b70f-8864a435b518,11/19/2021 0:00,10,311
5fcb7513-3a27-4fd4-8f69-a12aeeed4a28,11/19/2021 0:00,3,57
09eeee06-83e5-4355-a84a-fa5a4532636e,11/19/2021 0:00,3,57
